# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.5

da, long, 0000000000000000
lsc, long, 0000000000000001
다이아갯수, long, 0000000000000000
다이아보유::072bd984-ca3d-4ff5-b563-5592011a9e12, long, 0000000000000000
다이아보유::76cdc947-3598-4f9c-9b9c-c44f7dfd05b5, long, 0000000000000000
다이아제출갯수, long, 0000000000000000
인벤백업::76cdc947-3598-4f9c-9b9c-c44f7dfd05b5::0, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343038320A2020747970653A204149520A2020616D6F756E743A20300A
인벤백업::76cdc947-3598-4f9c-9b9c-c44f7dfd05b5::1, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343038320A2020747970653A204149520A2020616D6F756E743A20300A
인벤백업::76cdc947-3598-4f9c-9b9c-c44f7dfd05b5::2, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343038320A2020747970653A204149520A2020616D6F756E743A20300A
인벤백업::76cdc947-3598-4f9c-9b9c-c44f7dfd05b5::3, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343038320A2020747970653A204149520A2020616D6F756E743A20300A
인벤백업::76cdc947-3598-4f9c-9b9c-c44f7dfd05b5::4, itemstack, 810576616C756520804E76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20343038320A2020747970653A204149520A2020616D6F756E743A20300A
인벤제한::2d005adf-3398-4a71-84b3-d680118b9ac1, long, 0000000000000000
인벤제한::072bd984-ca3d-4ff5-b563-5592011a9e12, long, 0000000000000000
인벤제한::76cdc947-3598-4f9c-9b9c-c44f7dfd05b5, long, 0000000000000000
인벤제한::<none>, long, 0000000000000001

